X0,Y0,A
583.23,157.42,15.10480454
561.74,144.15,15.10480454
542,133,15.10480454
522.5,121.5,15.10480454
505,113.4,15.10480454
487,104.5,15.10480454
470.17,96.17,15.10480454
453.5,89,15.10480454
437.74,82.32,15.10480454
423.11,77.46,15.10480454
408.32,72.32,15.10480454
394.5,68.28,15.10480454
381,63.5,15.10480454
367.31,61.15,15.10480454
355.55,59.34,15.10480454
343,57,15.10480454
330.79,55.21,15.10480454
319.38,54.96,15.10480454
309.06,54.5,15.10480454
297.28,54.53,15.10480454
287.5,54.5,15.10480454
277.3,55.7,15.10480454
267.23,56.77,15.10480454
258,58.5,15.10480454
248.5,60.88,15.10480454
239.45,62.94,15.10480454
231,66,15.10480454
223.23,68.77,15.10480454
214,72.5,15.10480454
205.69,76,15.10480454
198,80,15.10480454
190.5,84.5,15.10480454
183,89.5,15.10480454
175,93.61,15.10480454
168.18,99,15.10480454
161.23,105,15.10480454
154.5,110,15.10480454
147,115,15.10480454
141.06,122.82,15.10480454
135.5,128.5,15.10480454
128.5,135,15.10480454
122,141,15.10480454
115.79,149.21,15.10480454
110.5,155.5,15.10480454
105.5,163.5,15.10480454
98.5,171.5,15.10480454
98.5,171.5,15.10480454
105.5,163.5,15.10480454
110.5,155.5,15.10480454
115.79,149.21,15.10480454
122,141,15.10480454
128.5,135,15.10480454
135.5,128.5,15.10480454
141.06,122.82,15.10480454
147,115,15.10480454
154.5,110,15.10480454
161.23,105,15.10480454
168.18,99,15.10480454
175,93.61,15.10480454
183,89.5,15.10480454
190.5,84.5,15.10480454
198,80,15.10480454
205.69,76,15.10480454
214,72.5,15.10480454
223.23,68.77,15.10480454
231,66,15.10480454
239.45,62.94,15.10480454
248.5,60.88,15.10480454
258,58.5,15.10480454
267.23,56.77,15.10480454
277.3,55.7,15.10480454
287.5,54.5,15.10480454
297.28,54.53,15.10480454
309.06,54.5,15.10480454
319.38,54.96,15.10480454
330.79,55.21,15.10480454
343,57,15.10480454
355.55,59.34,15.10480454
367.31,61.15,15.10480454
381,63.5,15.10480454
394.5,68.28,15.10480454
408.32,72.32,15.10480454
423.11,77.46,15.10480454
437.74,82.32,15.10480454
453.5,89,15.10480454
470.17,96.17,15.10480454
487,104.5,15.10480454
505,113.4,15.10480454
522.5,121.5,15.10480454
542,133,15.10480454
561.74,144.15,15.10480454
583.23,157.42,15.10480454
583.23,157.42,15.10480454
561.74,144.15,15.10480454
542,133,15.10480454
522.5,121.5,15.10480454
505,113.4,15.10480454
487,104.5,15.10480454
470.17,96.17,15.10480454
453.5,89,15.10480454
437.74,82.32,15.10480454
423.11,77.46,15.10480454
408.32,72.32,15.10480454
394.5,68.28,15.10480454
381,63.5,15.10480454
367.31,61.15,15.10480454
355.55,59.34,15.10480454
343,57,15.10480454
330.79,55.21,15.10480454
319.38,54.96,15.10480454
309.06,54.5,15.10480454
297.28,54.53,15.10480454
287.5,54.5,15.10480454
277.3,55.7,15.10480454
267.23,56.77,15.10480454
258,58.5,15.10480454
248.5,60.88,15.10480454
239.45,62.94,15.10480454
231,66,15.10480454
223.23,68.77,15.10480454
214,72.5,15.10480454
205.69,76,15.10480454
198,80,15.10480454
190.5,84.5,15.10480454
183,89.5,15.10480454
175,93.61,15.10480454
168.18,99,15.10480454
161.23,105,15.10480454
154.5,110,15.10480454
147,115,15.10480454
141.06,122.82,15.10480454
135.5,128.5,15.10480454
128.5,135,15.10480454
122,141,15.10480454
115.79,149.21,15.10480454
110.5,155.5,15.10480454
105.5,163.5,15.10480454
98.5,171.5,15.10480454
98.5,171.5,15.10480454
105.5,163.5,15.10480454
110.5,155.5,15.10480454
115.79,149.21,15.10480454
122,141,15.10480454
128.5,135,15.10480454
135.5,128.5,15.10480454
141.06,122.82,15.10480454
147,115,15.10480454
154.5,110,15.10480454
161.23,105,15.10480454
168.18,99,15.10480454
175,93.61,15.10480454
183,89.5,15.10480454
190.5,84.5,15.10480454
198,80,15.10480454
205.69,76,15.10480454
214,72.5,15.10480454
223.23,68.77,15.10480454
231,66,15.10480454
239.45,62.94,15.10480454
248.5,60.88,15.10480454
258,58.5,15.10480454
267.23,56.77,15.10480454
277.3,55.7,15.10480454
287.5,54.5,15.10480454
297.28,54.53,15.10480454
309.06,54.5,15.10480454
319.38,54.96,15.10480454
330.79,55.21,15.10480454
343,57,15.10480454
355.55,59.34,15.10480454
367.31,61.15,15.10480454
381,63.5,15.10480454
394.5,68.28,15.10480454
408.32,72.32,15.10480454
423.11,77.46,15.10480454
437.74,82.32,15.10480454
453.5,89,15.10480454
470.17,96.17,15.10480454
487,104.5,15.10480454
505,113.4,15.10480454
522.5,121.5,15.10480454
542,133,15.10480454
561.74,144.15,15.10480454
583.23,157.42,15.10480454
583.23,157.42,15.10480454
561.74,144.15,15.10480454
542,133,15.10480454
522.5,121.5,15.10480454
505,113.4,15.10480454
487,104.5,15.10480454
470.17,96.17,15.10480454
453.5,89,15.10480454
437.74,82.32,15.10480454
423.11,77.46,15.10480454
408.32,72.32,15.10480454
394.5,68.28,15.10480454
381,63.5,15.10480454
367.31,61.15,15.10480454
355.55,59.34,15.10480454
343,57,15.10480454
330.79,55.21,15.10480454
319.38,54.96,15.10480454
309.06,54.5,15.10480454
297.28,54.53,15.10480454
287.5,54.5,15.10480454
277.3,55.7,15.10480454
267.23,56.77,15.10480454
258,58.5,15.10480454
248.5,60.88,15.10480454
239.45,62.94,15.10480454
231,66,15.10480454
223.23,68.77,15.10480454
214,72.5,15.10480454
205.69,76,15.10480454
198,80,15.10480454
190.5,84.5,15.10480454
183,89.5,15.10480454
175,93.61,15.10480454
168.18,99,15.10480454
161.23,105,15.10480454
154.5,110,15.10480454
147,115,15.10480454
141.06,122.82,15.10480454
135.5,128.5,15.10480454
128.5,135,15.10480454
122,141,15.10480454
115.79,149.21,15.10480454
110.5,155.5,15.10480454
105.5,163.5,15.10480454
98.5,171.5,15.10480454
98.5,171.5,15.10480454
105.5,163.5,15.10480454
110.5,155.5,15.10480454
115.79,149.21,15.10480454
122,141,15.10480454
128.5,135,15.10480454
135.5,128.5,15.10480454
141.06,122.82,15.10480454
147,115,15.10480454
154.5,110,15.10480454
161.23,105,15.10480454
168.18,99,15.10480454
175,93.61,15.10480454
183,89.5,15.10480454
190.5,84.5,15.10480454
198,80,15.10480454
205.69,76,15.10480454
214,72.5,15.10480454
223.23,68.77,15.10480454
231,66,15.10480454
239.45,62.94,15.10480454
248.5,60.88,15.10480454
258,58.5,15.10480454
267.23,56.77,15.10480454
277.3,55.7,15.10480454
287.5,54.5,15.10480454
297.28,54.53,15.10480454
309.06,54.5,15.10480454
319.38,54.96,15.10480454
330.79,55.21,15.10480454
343,57,15.10480454
355.55,59.34,15.10480454
367.31,61.15,15.10480454
381,63.5,15.10480454
394.5,68.28,15.10480454
408.32,72.32,15.10480454
423.11,77.46,15.10480454
437.74,82.32,15.10480454
453.5,89,15.10480454
470.17,96.17,15.10480454
487,104.5,15.10480454
505,113.4,15.10480454
522.5,121.5,15.10480454
542,133,15.10480454
561.74,144.15,15.10480454
583.23,157.42,15.10480454